instrument_key,venue,instrument_type,symbol,venue_type,tardis_exchange,data_provider,asset_class,available_from_datetime,available_to_datetime,data_types,base_asset,quote_asset,settle_asset,exchange_raw_symbol,tardis_symbol,inverse,strike,option_type,expiry,contract_size,tick_size,underlying,min_size,ccxt_symbol,ccxt_exchange,base_asset_contract_address,quote_asset_contract_address,pool_address,pool_fee_tier
BINANCE-FUTURES:PERPETUAL:OCEAN-USDT@LIN,BINANCE-FUTURES,PERPETUAL,OCEAN-USDT@LIN,exchange,binance-futures,tardis,crypto,2020-11-04T00:00:00.000Z,2024-06-27T00:00:00.000Z,"trades,book_snapshot_5,derivative_ticker,liquidations",OCEAN,USDT,USDT,oceanusdt,oceanusdt,False,,,,,0.0001,OCEAN-USDT,1.0,OCEAN/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:AGIX-USDT@LIN,BINANCE-FUTURES,PERPETUAL,AGIX-USDT@LIN,exchange,binance-futures,tardis,crypto,2023-02-16T00:00:00.000Z,2024-06-27T00:00:00.000Z,"trades,book_snapshot_5,derivative_ticker,liquidations",AGIX,USDT,USDT,agixusdt,agixusdt,False,,,,,0.0001,AGIX-USDT,1.0,AGIX/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:WAVES-USDT@LIN,BINANCE-FUTURES,PERPETUAL,WAVES-USDT@LIN,exchange,binance-futures,tardis,crypto,2020-08-12T00:00:00.000Z,2024-06-12T00:00:00.000Z,"trades,book_snapshot_5,derivative_ticker,liquidations",WAVES,USDT,USDT,wavesusdt,wavesusdt,False,,,,,0.001,WAVES-USDT,0.01,WAVES/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:AUDIO-USDT@LIN,BINANCE-FUTURES,PERPETUAL,AUDIO-USDT@LIN,exchange,binance-futures,tardis,crypto,2021-08-19T00:00:00.000Z,2024-05-17T00:00:00.000Z,"trades,book_snapshot_5,derivative_ticker,liquidations",AUDIO,USDT,USDT,audiousdt,audiousdt,False,,,,,0.0001,AUDIO-USDT,0.1,AUDIO/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:IDEX-USDT@LIN,BINANCE-FUTURES,PERPETUAL,IDEX-USDT@LIN,exchange,binance-futures,tardis,crypto,2023-05-03T00:00:00.000Z,2024-05-16T00:00:00.000Z,"trades,book_snapshot_5,derivative_ticker,liquidations",IDEX,USDT,USDT,idexusdt,idexusdt,False,,,,,1e-05,IDEX-USDT,0.1,IDEX/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:RAD-USDT@LIN,BINANCE-FUTURES,PERPETUAL,RAD-USDT@LIN,exchange,binance-futures,tardis,crypto,2023-05-10T00:00:00.000Z,2024-05-15T00:00:00.000Z,"trades,book_snapshot_5,derivative_ticker,liquidations",RAD,USDT,USDT,radusdt,radusdt,False,,,,,0.001,RAD-USDT,0.1,RAD/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:DGB-USDT@LIN,BINANCE-FUTURES,PERPETUAL,DGB-USDT@LIN,exchange,binance-futures,tardis,crypto,2021-04-21T00:00:00.000Z,2024-04-02T00:00:00.000Z,"trades,book_snapshot_5,derivative_ticker,liquidations",DGB,USDT,USDT,dgbusdt,dgbusdt,False,,,,,1e-05,DGB-USDT,0.1,DGB/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:ANT-USDT@LIN,BINANCE-FUTURES,PERPETUAL,ANT-USDT@LIN,exchange,binance-futures,tardis,crypto,2021-12-27T00:00:00.000Z,2024-04-02T00:00:00.000Z,"trades,book_snapshot_5,derivative_ticker,liquidations",ANT,USDT,USDT,antusdt,antusdt,False,,,,,0.001,ANT-USDT,0.1,ANT/USDT,binance,,,,
BINANCE-FUTURES:PERPETUAL:FOOTBALL-USDT@LIN,BINANCE-FUTURES,PERPETUAL,FOOTBALL-USDT@LIN,exchange,binance-futures,tardis,crypto,2022-09-01T00:00:00.000Z,2024-03-27T00:00:00.000Z,"trades,book_snapshot_5,derivative_ticker,liquidations",FOOTBALL,USDT,USDT,footballusdt,footballusdt,False,,,,,,FOOTBALL-USDT,,,,,,,
BINANCE-FUTURES:PERPETUAL:BLUEBIRD-USDT@LIN,BINANCE-FUTURES,PERPETUAL,BLUEBIRD-USDT@LIN,exchange,binance-futures,tardis,crypto,2022-11-02T00:00:00.000Z,2024-03-27T00:00:00.000Z,"trades,book_snapshot_5,derivative_ticker,liquidations",BLUEBIRD,USDT,USDT,bluebirdusdt,bluebirdusdt,False,,,,,,BLUEBIRD-USDT,,,,,,,
BINANCE-FUTURES:PERPETUAL:TOMO-USDT@LIN,BINANCE-FUTURES,PERPETUAL,TOMO-USDT@LIN,exchange,binance-futures,tardis,crypto,2020-10-12T00:00:00.000Z,2023-11-15T00:00:00.000Z,"trades,book_snapshot_5,derivative_ticker,liquidations",TOMO,USDT,USDT,tomousdt,tomousdt,False,,,,,0.0001,TOMO-USDT,0.1,TOMO/USDT,binance,,,,
